ID_Prestamo,ID_Cliente,Nombre_Cliente,Apellido_Cliente,Lugar_Trabajo,Ciudad,Region,Latitud,Longitud,Monto_Prestamo,Tasa_Interes_Anual,Garantia,Valor_Garantia,Fecha_Inicio,Fecha_Termino,Monto_Pagado,Saldo_Pendiente,Estado_Pago,Tiempo en Meses del prest,Tiempo_del_Prestamo,Tiene_Atrasos,Estado
35,137,Andrés,Flores,Empresa C,Bonao,Cibao Norte,18.9427,-70.4094,31405.19,8.2,Electrónica,75000,6/14/2023,2/14/2025,6269.99,25135.2,Pendiente,12,"1 año, 16 días",No,Normal (OK)
36,161,Javier,Díaz,Empresa A,Samaná,Noreste,19.2126,-69.332,6149.26,14.83,Electrodomésticos,50000,5/31/2023,12/31/2024,3432.91,2716.35,Pendiente,13,"1 año, 1 mes, 0 día",No,Normal (OK)
37,157,Laura,González,Empresa D,Dajabón,Noroeste,19.5477,-71.7069,8955.13,5.81,Inventario,120000,12/11/2021,3/11/2024,8841.32,113.81,Atrasado,30,"3 años, 6 meses, 26 días",Sí,En Acuerdo de Pago
38,48,Valentina,Mendoza,Empresa I,Pedernales,Suroeste,18.0374,-71.7414,4712.6,7.12,Bienes Raíces,30000,6/5/2021,5/5/2022,5048.14,0,Pagado,36,"3 años, 5 días",No,Normal (OK)
39,185,Pedro,Peralta,Empresa A,San Juan de la Maguana,Sur,18.8061,-71.2296,33837.91,10.51,Joyas,80000,1/7/2021,1/7/2022,37394.27,0,Pagado,41,"3 años, 5 meses, 4 días",No,Normal (OK)
40,192,Sofía,Ortega,Empresa O,San Francisco de Macorís,Cibao Norte,19.3012,-70.2537,34433.16,7.51,Instrumentos Musicales,80000,11/14/2021,1/14/2023,37019.09,0,Pagado,31,"3 años, 7 meses, 23 días",No,Normal (OK)
41,158,Javier,Díaz,Empresa A,Santa Cruz de Barahona,Sur,18.2085,-71.1001,29654,14.72,Maquinaria,180000,6/4/2021,12/4/2022,29599.72,54.28,Atrasado,36,"3 años, 6 días",Sí,En Legal
42,85,Juan,Hernández,Empresa A,Monte Cristi,Noroeste,19.8676,-71.6505,45959.07,7.81,Muebles,90000,8/15/2023,3/15/2025,49548.47,0,Pagado,10,"1 año, 10 meses, 14 días",No,Normal (OK)
43,44,Roberto,González,Empresa F,Santo Domingo,Metropolitana,18.4861,-69.9312,36158.73,14.2,Herramientas,60000,10/16/2020,7/16/2022,27006.75,9151.98,Atrasado,44,"4 años, 8 meses, 27 días",Sí,En Legal
44,16,Laura,Cruz,Empresa O,Santa Cruz de Barahona,Sur,18.2085,-71.1001,12165.94,9.32,Herramientas,60000,6/6/2021,8/6/2023,5663.07,6502.87,Atrasado,36,"3 años, 4 días",Sí,En Legal
45,194,Carlos,Martínez,Empresa O,Salvaleón de Higüey,Este,18.615,-68.7076,11105.97,8.89,Mascotas,3000,1/2/2021,2/2/2022,12093.29,0,Pagado,41,"3 años, 5 meses, 9 días",No,Normal (OK)
46,86,Lucía,Ramírez,Empresa L,Azua,Sur,18.4544,-70.7292,15601.62,8.2,Equipo Informático,150000,11/10/2023,11/10/2024,16880.95,0,Pagado,7,"1 año, 7 meses, 17 días",No,Normal (OK)
47,86,Lucía,Ramírez,Empresa L,Azua,Sur,18.4544,-70.7292,39168.25,8.22,Ropa,5000,9/8/2021,12/8/2023,32140.18,7028.07,Atrasado,33,"3 años, 9 meses, 0 día",Sí,En Legal
48,140,María,Cruz,Empresa D,Sabana de la Mar,Este,19.061,-69.3707,45626.89,8.63,Electrónica,75000,7/28/2022,7/28/2023,21631.11,23995.78,Atrasado,23,"2 años, 11 meses, 7 días",Sí,En Legal
49,90,Lucía,Pérez,Empresa Y,Bonao,Cibao Norte,18.9427,-70.4094,14494.85,6.79,Joyas,80000,11/22/2021,2/22/2024,15479.05,0,Pagado,31,"3 años, 7 meses, 15 días",No,Normal (OK)
50,78,María,Peralta,Empresa Z,Jimaní,Suroeste,18.4911,-71.8501,46531.34,14.53,Instrumentos Musicales,80000,11/6/2022,11/6/2023,26299.92,20231.42,Atrasado,19,"2 años, 7 meses, 26 días",Sí,En Legal
51,83,Sofía,González,Empresa E,Sabana de la Mar,Este,19.061,-69.3707,19142.18,13.06,Electrodomésticos,50000,5/19/2023,4/19/2024,21642.15,0,Pagado,13,"1 año, 1 mes, 12 días",No,Normal (OK)
52,136,Gabriela,López,Empresa X,San Francisco de Macorís,Cibao Norte,19.3012,-70.2537,3094.31,8.5,Maquinaria,180000,11/7/2023,7/7/2025,3357.33,0,Pagado,7,"1 año, 7 meses, 20 días",No,Normal (OK)
53,23,Fernando,Santos,Empresa V,Monte Plata,Este,18.8076,-69.7844,28815.13,13.58,Joyas,80000,7/6/2021,10/6/2022,32728.22,0,Pagado,35,"3 años, 11 meses, 4 días",No,Normal (OK)
54,14,Pedro,Cruz,Empresa A,Jimaní,Suroeste,18.4911,-71.8501,13541.41,12.67,Arte,200000,3/4/2020,2/4/2022,2382.2,11159.21,Atrasado,51,"4 años, 3 meses, 13 días",Sí,En Legal
55,43,Juan,González,Empresa Z,Neiba,Suroeste,18.4884,-71.4197,19739.36,5.86,Plantas,1000,2/17/2020,1/17/2021,20896.09,0,Pagado,52,"4 años, 4 meses, 29 días",No,Normal (OK)
56,90,Lucía,Pérez,Empresa Y,Bonao,Cibao Norte,18.9427,-70.4094,10538.71,12.33,Oro,100000,8/7/2021,1/7/2024,2967.53,7571.18,Atrasado,34,"3 años, 10 meses, 2 días",Sí,En Legal
57,6,Luis,Torres,Empresa R,Azua,Sur,18.4544,-70.7292,8827.02,7,Ropa,5000,8/2/2023,12/2/2025,9444.91,0,Pagado,10,"1 año, 10 meses, 27 días",No,Normal (OK)
58,59,Ricardo,Mendoza,Empresa S,Barahona,Sur,18.2085,-71.1001,33586.41,14.35,Arte,200000,12/29/2022,5/29/2025,15598.01,17988.4,Pendiente,18,"2 años, 6 meses, 3 días",No,Normal (OK)
59,154,Marta,González,Empresa T,Hato Mayor del Rey,Este,18.7647,-69.2574,15177.82,10.3,Colecciones,100000,4/23/2021,3/23/2023,12631.91,2545.91,Atrasado,38,"3 años, 2 meses, 18 días",Sí,En Legal
60,46,Isabel,Cruz,Empresa X,Mao,Noroeste,19.5576,-71.0777,43903.86,8.72,Joyas,80000,4/23/2023,12/23/2024,7901.89,36001.97,Pendiente,14,"1 año, 2 meses, 8 días",No,Normal (OK)
61,127,Fernando,Sánchez,Empresa N,Santiago de los Caballeros,Cibao Norte,19.4518,-70.697,1119.6,14.29,Libros,2000,12/15/2021,2/15/2023,1279.59,0,Pagado,30,"3 años, 6 meses, 22 días",No,Normal (OK)
62,69,Roberto,Rojas,Empresa U,Salvaleón de Higüey,Este,18.615,-68.7076,42146.12,9.29,Equipo Informático,150000,1/2/2023,7/2/2023,46061.49,0,Pagado,17,"1 año, 5 meses, 29 días",No,Normal (OK)
63,142,Andrés,Sánchez,Empresa S,Cotuí,Cibao Norte,19.0595,-70.1515,7192.45,11.89,Mascotas,3000,12/30/2023,1/30/2025,8047.63,0,Pagado,6,"1 año, 6 meses, 27 días",No,Normal (OK)
64,145,María,Santos,Empresa A,Baní,Sur,18.2866,-70.3313,6673.04,6.59,Inventario,120000,7/7/2020,4/7/2021,7112.79,0,Pagado,47,"4 años, 11 meses, 8 días",No,Normal (OK)
65,72,Luis,Mendoza,Empresa E,Neiba,Suroeste,18.4884,-71.4197,36021.36,13.54,Colecciones,100000,1/26/2021,3/26/2022,40898.65,0,Pagado,41,"3 años, 5 meses, 15 días",No,Normal (OK)
66,35,Alejandra,Peralta,Empresa W,Monte Plata,Este,18.8076,-69.7844,47747.83,9.38,Maquinaria,180000,12/23/2021,3/23/2024,52226.58,0,Pagado,30,"3 años, 6 meses, 14 días",No,Normal (OK)
67,78,María,Peralta,Empresa Z,Jimaní,Suroeste,18.4911,-71.8501,12299.91,6.78,Equipo Informático,150000,9/25/2020,1/25/2023,8833.54,3466.37,Atrasado,45,"4 años, 9 meses, 18 días",Sí,En Legal
68,159,Gabriela,Luna,Empresa E,El Seibo,Este,18.7649,-69.0386,20614.3,8.71,Electrodomésticos,50000,3/25/2022,9/25/2024,22409.81,0,Pagado,27,"2 años, 3 meses, 12 días",No,Normal (OK)
69,182,Luis,Cruz,Empresa O,Baní,Sur,18.2866,-70.3313,28878.93,14.81,Muebles,90000,5/22/2022,8/22/2024,4938.88,23940.05,Pendiente,25,"2 años, 1 mes, 14 días",No,Normal (OK)
70,124,Roberto,Flores,Empresa J,Mao,Noroeste,19.5576,-71.0777,34816.35,8.22,Vehículo,200000,10/13/2023,5/13/2024,37678.25,0,Pagado,8,"1 año, 8 meses, 15 días",No,Normal (OK)
71,92,Juan,Mendoza,Empresa M,San Cristóbal,Sur,18.4161,-70.1098,6440.35,7.3,Muebles,90000,3/25/2023,12/25/2024,6910.5,0,Pagado,15,"1 año, 3 meses, 7 días",No,Normal (OK)
72,52,María,Cruz,Empresa T,Mao,Noroeste,19.5576,-71.0777,15285.95,5.09,Equipo Informático,150000,5/10/2021,9/10/2022,16064,0,Pagado,37,"3 años, 1 mes, 1 día",No,Normal (OK)
73,31,Fernando,Ramírez,Empresa V,San Pedro de Macorís,Este,18.4534,-69.3067,45989.26,11.96,Maquinaria,180000,1/21/2020,6/21/2021,30970.23,15019.03,Atrasado,53,"4 años, 5 meses, 26 días",Sí,En Legal
74,4,Pedro,Hernández,Empresa Q,San Francisco de Macorís,Cibao Norte,19.3012,-70.2537,40932.66,12.51,Automóvil,150000,3/28/2021,11/28/2022,46053.34,0,Pagado,39,"3 años, 3 meses, 14 días",No,Normal (OK)
75,155,Roberto,Díaz,Empresa E,Barahona,Sur,18.2085,-71.1001,14453.9,14.02,Arte,200000,4/17/2023,2/17/2024,13929.75,524.15,Atrasado,14,"1 año, 2 meses, 14 días",Sí,En Legal
76,156,Sofía,Peralta,Empresa U,Monte Cristi,Noroeste,19.8676,-71.6505,9698.42,14.92,Vehículo,200000,7/11/2021,2/11/2022,6386.99,3311.43,Atrasado,35,"3 años, 11 meses, 29 días",Sí,En Legal
77,116,Marta,Martínez,Empresa K,Santa Cruz de Barahona,Sur,18.2085,-71.1001,22866.87,8.14,Equipo Informático,150000,8/13/2022,2/13/2024,24728.23,0,Pagado,22,"2 años, 10 meses, 21 días",No,Normal (OK)
78,185,Pedro,Peralta,Empresa A,San Juan de la Maguana,Sur,18.8061,-71.2296,38990.03,5.24,Libros,2000,3/22/2020,10/22/2021,6441.86,32548.17,Atrasado,51,"4 años, 3 meses, 25 días",Sí,En Legal
79,178,Laura,Torres,Empresa T,Bonao,Cibao Norte,18.9427,-70.4094,29873.48,9.73,Herramientas,60000,12/14/2020,12/14/2021,32780.17,0,Pagado,42,"4 años, 6 meses, 28 días",No,Normal (OK)
80,51,Juan,Cruz,Empresa I,Nagua,Noreste,19.3764,-69.8474,45851.74,10.09,Vehículo,200000,12/16/2023,10/16/2024,44045.79,1805.95,Pendiente,6,"1 año, 6 meses, 11 días",No,Normal (OK)
81,123,Alejandra,Pérez,Empresa G,Pedernales,Suroeste,18.0374,-71.7414,35880.18,14.23,Electrónica,75000,11/1/2021,8/1/2023,17143.84,18736.34,Atrasado,31,"3 años, 7 meses, 6 días",Sí,En Legal
82,85,Juan,Hernández,Empresa A,Monte Cristi,Noroeste,19.8676,-71.6505,2290.5,8.08,Propiedad,250000,12/18/2021,2/18/2024,1600.58,689.92,Atrasado,30,"3 años, 6 meses, 19 días",Sí,En Legal
83,105,Marta,Flores,Empresa H,Santo Domingo,Metropolitana,18.4861,-69.9312,39127.33,5.15,Vehículo,200000,4/4/2021,1/4/2023,41142.39,0,Pagado,38,"3 años, 2 meses, 7 días",No,Normal (OK)
84,6,Luis,Torres,Empresa R,Azua,Sur,18.4544,-70.7292,46169.51,9.75,Automóvil,150000,4/26/2020,6/26/2022,50671.04,0,Pagado,50,"4 años, 2 meses, 20 días",No,Normal (OK)
85,58,Andrés,Flores,Empresa B,San Pedro de Macorís,Este,18.4534,-69.3067,33509.33,13.37,Equipo Informático,150000,9/19/2022,10/19/2023,5301.58,28207.75,Atrasado,21,"2 años, 9 meses, 14 días",Sí,En Legal
86,81,María,Ramírez,Empresa K,Puerto Plata,Cibao Norte,19.793,-70.6884,42047.58,10.62,Plantas,1000,7/21/2021,2/21/2022,46513.03,0,Pagado,35,"3 años, 11 meses, 19 días",No,Normal (OK)
87,118,Ricardo,Peralta,Empresa R,Sabana de la Mar,Este,19.061,-69.3707,16182.34,14.9,Oro,100000,4/11/2021,10/11/2021,11739.88,4442.46,Atrasado,38,"3 años, 2 meses, 0 día",Sí,En Legal
88,5,Gabriela,Ramírez,Empresa A,Barahona,Sur,18.2085,-71.1001,47000.82,10.91,Automóvil,150000,11/7/2022,11/7/2023,52128.61,0,Pagado,19,"2 años, 7 meses, 25 días",No,Normal (OK)
89,68,María,Hernández,Empresa U,Santa Cruz de Barahona,Sur,18.2085,-71.1001,37413.22,9.05,Libros,2000,7/29/2022,11/29/2024,40799.12,0,Pagado,23,"2 años, 11 meses, 6 días",No,Normal (OK)
90,11,Gabriela,Díaz,Empresa F,Nagua,Noreste,19.3764,-69.8474,16404.8,8.68,Ropa,5000,4/19/2021,6/19/2022,356.76,16048.04,Atrasado,38,"3 años, 2 meses, 22 días",Sí,En Legal
91,57,Marta,Díaz,Empresa G,Higuey,Este,18.615,-68.7076,21344.54,5.18,Herramientas,60000,11/6/2022,5/6/2023,22450.19,0,Pagado,19,"2 años, 7 meses, 26 días",No,Normal (OK)
92,7,Marta,Mendoza,Empresa H,Jimaní,Suroeste,18.4911,-71.8501,5197.16,7.96,Herramientas,60000,5/13/2021,7/13/2022,5610.85,0,Pagado,37,"3 años, 1 mes, 28 días",No,Normal (OK)
93,78,María,Peralta,Empresa Z,Jimaní,Suroeste,18.4911,-71.8501,46962.26,14.11,Muebles,90000,9/24/2023,7/24/2024,22629.51,24332.75,Pendiente,9,"1 año, 9 meses, 4 días",No,Normal (OK)
94,42,Alejandra,Ramírez,Empresa L,Santa Cruz de Barahona,Sur,18.2085,-71.1001,5647.05,11.12,Vehículo,200000,1/22/2021,9/22/2022,4697.02,950.03,Atrasado,41,"3 años, 5 meses, 19 días",Sí,En Legal
95,48,Valentina,Mendoza,Empresa I,Pedernales,Suroeste,18.0374,-71.7414,46615.34,12.57,Bienes Raíces,30000,11/15/2020,11/15/2022,52474.89,0,Pagado,43,"4 años, 7 meses, 27 días",No,Normal (OK)
96,101,Ricardo,Díaz,Empresa T,Concepción de La Vega,Cibao Norte,19.1199,-70.6483,14858.68,13.02,Equipo Informático,150000,2/16/2023,12/16/2024,16793.28,0,Pagado,16,"1 año, 4 meses, 14 días",No,Normal (OK)
97,85,Juan,Hernández,Empresa A,Monte Cristi,Noroeste,19.8676,-71.6505,6521.41,13.08,Electrónica,75000,5/21/2022,4/21/2024,4451.55,2069.86,Atrasado,25,"2 años, 1 mes, 15 días",Sí,En Acuerdo de Pago
98,76,Alejandra,Torres,Empresa T,San Francisco de Macorís,Cibao Norte,19.3012,-70.2537,30274.32,14.15,Electrónica,75000,6/30/2021,7/30/2022,34558.14,0,Pagado,36,"3 años, 10 días",No,Normal (OK)
99,25,Lucía,Torres,Empresa W,Samaná,Noreste,19.2126,-69.332,15190.49,11.07,Instrumentos Musicales,80000,4/27/2022,4/27/2024,9376.62,5813.87,Atrasado,26,"2 años, 2 meses, 9 días",Sí,En Acuerdo de Pago
100,117,Ricardo,Martínez,Empresa S,Sabana de la Mar,Este,19.061,-69.3707,39286.34,7.05,Equipo Informático,150000,10/27/2020,6/27/2021,42056.03,0,Pagado,44,"4 años, 8 meses, 16 días",No,Normal (OK)
101,194,Carlos,Martínez,Empresa O,Salvaleón de Higüey,Este,18.615,-68.7076,12651.89,5.59,Electrónica,75000,7/6/2020,5/6/2021,13359.13,0,Pagado,47,"4 años, 11 meses, 9 días",No,Normal (OK)
102,86,Lucía,Ramírez,Empresa L,Azua,Sur,18.4544,-70.7292,48878.2,5.6,Colecciones,100000,10/26/2022,12/26/2024,10642.4,38235.8,Pendiente,20,"2 años, 8 meses, 7 días",No,Normal (OK)
103,75,Isabel,Torres,Empresa M,Puerto Plata,Cibao Norte,19.793,-70.6884,19347.08,12.76,Vehículo,200000,4/11/2020,12/11/2021,21815.77,0,Pagado,50,"4 años, 2 meses, 5 días",No,Normal (OK)
104,30,Juan,Gómez,Empresa S,Puerto Plata,Cibao Norte,19.793,-70.6884,46297.91,6.6,Muebles,90000,10/19/2021,6/19/2022,49353.57,0,Pagado,32,"3 años, 8 meses, 19 días",No,Normal (OK)
105,88,Luis,Díaz,Empresa D,Salvaleón de Higüey,Este,18.615,-68.7076,32850.75,8.26,Vehículo,200000,4/9/2020,12/9/2020,12608.98,20241.77,Atrasado,50,"4 años, 2 meses, 7 días",Sí,En Legal
106,42,Alejandra,Ramírez,Empresa L,Santa Cruz de Barahona,Sur,18.2085,-71.1001,48488.39,8.74,Joyas,80000,4/4/2022,6/4/2024,43581.18,4907.21,Atrasado,26,"2 años, 2 meses, 2 días",Sí,En Acuerdo de Pago
107,101,Ricardo,Díaz,Empresa T,Concepción de La Vega,Cibao Norte,19.1199,-70.6483,9509.66,7.98,Joyas,80000,1/16/2021,3/16/2023,3010.27,6499.39,Atrasado,41,"3 años, 5 meses, 25 días",Sí,En Legal
108,82,Andrés,Luna,Empresa Z,Samaná,Noreste,19.2126,-69.332,15634.96,13.51,Herramientas,60000,12/19/2022,11/19/2023,17747.24,0,Pagado,18,"2 años, 6 meses, 13 días",No,Normal (OK)
109,73,Roberto,Rojas,Empresa Z,Dajabón,Noroeste,19.5477,-71.7069,16367.27,9.01,Inventario,120000,9/4/2021,9/4/2023,17841.96,0,Pagado,33,"3 años, 9 meses, 4 días",No,Normal (OK)
110,161,Javier,Díaz,Empresa A,Samaná,Noreste,19.2126,-69.332,10371.01,10.94,Arte,200000,10/2/2021,10/2/2023,4354.75,6016.26,Atrasado,32,"3 años, 8 meses, 6 días",Sí,En Legal
111,6,Luis,Torres,Empresa R,Azua,Sur,18.4544,-70.7292,42354.55,14.66,Bienes Raíces,30000,12/31/2022,9/30/2024,38455.49,3899.06,Pendiente,18,"2 años, 6 meses, 1 día",No,Normal (OK)
112,65,Javier,Santos,Empresa J,Sabana de la Mar,Este,19.061,-69.3707,42662.54,9.75,Colecciones,100000,1/24/2023,10/24/2024,46822.14,0,Pagado,17,"1 año, 5 meses, 7 días",No,Normal (OK)
113,146,Laura,Peralta,Empresa E,Hato Mayor del Rey,Este,18.7647,-69.2574,40069.96,8.84,Ropa,5000,4/3/2021,11/3/2022,43612.14,0,Pagado,38,"3 años, 2 meses, 8 días",No,Normal (OK)
114,199,Roberto,Hernández,Empresa K,Baní,Sur,18.2866,-70.3313,20506.85,11.53,Joyas,80000,4/28/2023,5/28/2024,14450.3,6056.55,Atrasado,14,"1 año, 2 meses, 3 días",Sí,En Acuerdo de Pago
115,127,Fernando,Sánchez,Empresa N,Santiago de los Caballeros,Cibao Norte,19.4518,-70.697,24929.3,11.19,Libros,2000,11/21/2023,3/21/2026,12552.47,12376.83,Pendiente,7,"1 año, 7 meses, 6 días",No,Normal (OK)
116,77,Isabel,Díaz,Empresa N,Higuey,Este,18.615,-68.7076,38959.84,9.35,Maquinaria,180000,1/27/2021,11/27/2021,27258.45,11701.39,Atrasado,41,"3 años, 5 meses, 14 días",Sí,En Legal
